Name,Author,Price,About
Митрохина Юлия: Как заработать в сетевом маркетинге. Успешный бизнес без вложений и связей,Юлия Митрохина,600 ₽,"Юлия Митрохина — мотивационный коуч, психолог, топ-лидер одной из ведущих сетевых компаний в России."
Бернейс Эдвард: Формирование общественного мнения,Эдвард Бернейс,209 ₽,Реклама — двигатель торговли.
Айзек Майк: Битва за Uber. Как Трэвис Каланик потерял самую успешную компанию десятилетия,Майк Айзек,110 ₽,"Мировая кинопремьера! Главная книга о компании UBER и Трэвисе Каланике, ставшая основой одноименного телесериала с УМОЙ ТУРМАН и ДЖОЗЕФОМ ГОРДОН-ЛЕВИТТОМ."
Джаррар Ясар: Управляй как шейх. Уроки лидерства от правителя Дубая,Ясар Джаррар,1 450 ₽,"Как создать из пустыни быстроразвивающийся город, центр мирового притяжения и восьмое чудо света? Все просто — нужно думать, как шейх."
Айзексон Уолтер: Invent and Wander. Избранные статьи создателя Amazon Джеффа Безоса,Уолтер Айзексон,200 ₽,"Ежегодные послания акционерам, тексты самых пронзительных выступлений и интервью Джеффа Безоса, собранные в книгу гениальным биографом Уолтером Айзексоном."
Розенцвейг Фил: Эффект ореола и другие заблуждения каждого менеджера...,Фил Розенцвейг,146 ₽,"﻿Автор книги утверждает, что наиболее популярные идеи в бизнесе не что иное, как успокоительные банальности, обещающие обеспокоенным менеджерам быстрый успех. Эти ""бизнес-иллюзии"": общепринятые и глубоко укоренившиеся убеждения являются результатом ""эффекта ореола"", или, говоря иначе, нашей потребности приписывать исключительно положительные качества любой компании, достигшей успеха. Вера в эти иллюзии служит менеджерам успокоением, помогающим обосновать решения, а также позволяет значительно упрощать реальность и игнорировать постоянные требования меняющихся технологий, рынков и потребителей."
"Рябов Евгений Викторович: Предприниматель, который выжил. Как не погубить бизнес и инвестиции",Евгений Рябов,141 ₽,"Как обезопасить свой бизнес и не совершать ошибок, которые могут  привести к его краху? Как навести порядок в делах, потратив  минимальное количество финансов?"
"Могайар Уильям, Бутерин Виталик: Блокчейн для бизнеса",Уильям Могайар,183 ₽,"Все мы привыкли, что любые вопросы с деньгами нужно решать через банки или другие традиционные финансовые институты. Блокчейн создает реальность, в которой безопасность гарантируют формулы. Возникший как платформа для криптовалюты, блокчейн сегодня становится инструментом , способным разрешить проблему доверия в глобальном масштабе. Различные сделки, торги, покупка недвижимости, страхование, медицина, выборы — эта технология может отследить и зафиксировать все действия без участия посредников."
"Серхант Р., Блаунт Дж., Гребенюк М.: Подарок гениальному руководителю. Солидный доход. Подарок мужчине/подарочный набор/подарок руководителю/подарок коллеге/книга в подарок/набор книг/подарок директору/подарок сотруднику/бизнес-подарок",Top Business Awards,2 575 ₽,"Главные книги для тех, кто хочет повысить личный доход и доход своей компании."
Мезин Александр Игоревич: По домам. Как превратить удаленную работу в преимущество,Александр Мезин,123 ₽,"Как совладать с собой и выработать навык удаленной работы? Почему управлять сотрудниками в распределенной команде может быть даже легче, чем в офисе? Что делать, если сотрудники могут, но не хотят переходить на удаленную работу? Мы рассмотрим эти и другие вопросы и попытаемся понять, что такое удаленная работа: свершившаяся революция или привычная нам практика, вдруг ставшая более актуальной."
Клейсон Джордж: Самый богатый человек в Вавилоне (львы),Джордж Клейсон,404 ₽,"10 всемирно известных притч, которые полностью меняют ваше мышление. Оригинальная версия главной книги о богатстве теперь в самом полном и благозвучном переводе."
Игорь Рызов: Кремлевская школа переговоров,Игорь Рызов,688 ₽,"«Кремлевская школа переговоров», зародившаяся в 20-е годы минувшего века, стала одной из самых жестких переговорных школ в истории. Её принципами руководствовались советские дипломаты, которым приходилось налаживать международные отношения СССР в условиях тотальной неприязни и недоверия. Зачастую они прибегали к самым агрессивным переговорным тактикам. Освоить все постулаты «Кремлевской школы» вам поможет эта книга."
Шурочкина Оксана Владимировна: Продавец эмоций. Как создать и спродюсировать громкий проект,Оксана Шурочкина,165 ₽,"Люди платят за эмоции. Сегодня, чтобы быть успешным, нужно создавать то, что заставит людей плакать от умиления, смеяться до коликов или замирать от восторга."
Ли Робин: Baidu. Как китайский поисковик с помощью искусственного интеллекта обыграл Google,Робин Ли,229 ₽,КНИГА ОТ ОСНОВАТЕЛЯ И СЕО BAIDU РОБИНА ЛИ.
Гольдштейн Эми: Джейнсвилл. Как выживал маленький городок после закрытия завода General Motors,Эми Гольдштейн,183 ₽,"Джейнсвилл — городок, в котором находился старейший в Америке завод General Motors. 23 декабря 2008 года, за два дня до Рождества, он закрылся, и девять тысяч человек потеряли единственный источник дохода."
Мэдден Стив: Одержимый обувью. От багажника автомобиля до международной империи с выручкой в миллиард $,Стив Мэдден,165 ₽,"Возможно ли основать международную компанию с $1000 в кармане? История Стива Мэддена, полная крутых виражей, доказывает, что это под силу каждому. Сегодня его компания входит в биржевой индекс S&P 600 Small Cap на NASDAQ. Годовая выручка превышает один миллиард долларов, а общее число сотрудников достигает почти 4000 человек."
"Жизнь после цели, Или как достигнуть успеха, вкладываясь в действия, а не в результат",Мейер Фельдберг,141 ₽,"«Мейер Фельдберг бросил в юности спорт по случайному стечению обстоятельств, но сохранил выдержку и применил ко всей жизни уроки, которые вынес из занятий плаванием. С тех пор он без остановки движется к успеху. В его гонке нет финиша, а потому он не хочет расслабляться и опускать руки. Это вызывает восторг и уважение. Легкая, захватывающая книга. Рекомендую!» — Руслан Фаршатов, телеведущий, блогер, автор курса «Медиафитнес»"
"Ильяхов Максим, Сарычева Людмила Андреевна: Пиши, сокращай 2025: Как создавать сильный текст",Максим Ильяхов,958 ₽,"Максим Ильяхов и Людмила Сарычева на конкретных примерах показывают, что такое хорошо и что такое плохо в информационном, рекламном, журналистском или публицистическом текстах. Как писать письма, на которые будут отвечать, и рассылки, от которых не будут отписываться. Как создавать действенные и не вульгарные рекламные объявления. Как излагать мысли кратко, ясно и убедительно, без языкового мусора, фальши и штампов. Следуя рекомендациям из книги, вы научитесь писать понятно, увлекать читателей и добиваться их доверия. Это обязательная книга для копирайтеров, авторов, редакторов, дизайнеров, программистов, менеджеров, предпринимателей, руководителей, служащих и всех, кто использует текст в работе."
Ленсиони Патрик: Пять пороков команды,Патрик Ленсиони,914 ₽,"Увлекательная история преобразования группы талантливых людей в команду победителей. История, рассказанная в форме бизнес-романа."
Пирсон Тейлор: Конец работы. Куда исчезнут офисы и как подготовиться к изменениям,Тейлор Пирсон,165 ₽,"Наступает эра перехода от экономики знаний к предпринимательской экономике. Технологический прорыв дает возможности начать свой бизнес, власть переходит от корпораций к индивидуумам. В книге Тейлор Пирсон объясняет, почему предпринимательство становится более доступным, прибыльным и безопасным, в то время как офисная работа — более рискованной и менее прибыльной. Книга поможет сориентироваться в быстро меняющейся среде, решиться на перемены и создать свою стратегию роста в современной экономике."
Талеб Нассим Николас: Антихрупкость. Как извлечь выгоду из хаоса,Талеб Нассим Николас,973 ₽,"Нассим Николас Талеб, автор бестселлера ""Черный лебедь"" и один из самых ярких мыслителей нашего времени, открывает секрет процветания в мире, полном неопределенности."
